time_s,csp_out_V
2.417135227637274154e-04,-5.941808558418415487e-05
2.417647227637171193e-04,-5.935846638749353588e-05
2.418159227637068232e-04,-5.929890903644263744e-05
2.418671227636965272e-04,-5.923940989305265248e-05
2.419183227636862311e-04,-5.917997259530238807e-05
2.419695227636759350e-04,-5.912059350521303713e-05
2.420207227636656390e-04,-5.906127626076340675e-05
2.420719227636553429e-04,-5.900201722397468984e-05
2.421231227636450468e-04,-5.894281639484688640e-05
2.421743227636347507e-04,-5.888367741135880351e-05
2.422255227636244547e-04,-5.882459663553163409e-05
2.422767227636141586e-04,-5.876557406736537814e-05
2.423279227636038625e-04,-5.870661334483884275e-05
2.423791227635935664e-04,-5.864770719199441373e-05
2.424303227635832704e-04,-5.858886288478970528e-05
2.424815227635729743e-04,-5.853008042322471738e-05
2.425327227635626782e-04,-5.847135253134183586e-05
2.425839227635523821e-04,-5.841268648509867489e-05
2.426351227635420861e-04,-5.835407500853762031e-05
2.426863227635317900e-04,-5.829552537761628628e-05
2.427375227635214939e-04,-5.823703759233467281e-05
2.427887227635111978e-04,-5.817860437673516572e-05
2.428399227635009018e-04,-5.812022936879657209e-05
2.428911227634906057e-04,-5.806191620649769902e-05
2.429423227634803096e-04,-5.800365761388093233e-05
2.429935227634700135e-04,-5.794546086690388620e-05
2.430447227634597175e-04,-5.788732232758775353e-05
2.430959227634494214e-04,-5.782923835795372725e-05
2.431471227634391253e-04,-5.777121623395942152e-05
2.431983227634288292e-04,-5.771325231762602925e-05
2.432495227634185332e-04,-5.765534297097474337e-05
2.433007227634082371e-04,-5.759749546996317804e-05
2.433519227633979410e-04,-5.753970617661252618e-05
2.434031227633876450e-04,-5.748197145294398069e-05
2.434543227633773489e-04,-5.742429857491515577e-05
2.435055227633670528e-04,-5.736668026656843722e-05
2.435567227633567567e-04,-5.730912380386143923e-05
2.436079227633464607e-04,-5.725162191083654761e-05
2.436591227633361646e-04,-5.719417822547256947e-05
2.437103227633258685e-04,-5.713679274776950479e-05
2.437615227633155724e-04,-5.707946547772735357e-05
2.438127227633052764e-04,-5.702219277736730874e-05
2.438639227632949803e-04,-5.696497828466817737e-05
2.439151227632846842e-04,-5.690782199962995946e-05
2.439663227632743881e-04,-5.685072392225265503e-05
2.440175227632640921e-04,-5.679368405253626406e-05
2.440687227632537960e-04,-5.673669875250197947e-05
2.441199227632434999e-04,-5.667977166012860835e-05
2.441711227632497108e-04,-5.662290277541615069e-05
2.442223227632671703e-04,-5.656609209836460650e-05
2.442735227632846298e-04,-5.650933599099516869e-05
2.443247227633020893e-04,-5.645263445330783725e-05
2.443759227633195488e-04,-5.639599476126022637e-05
2.444271227633370083e-04,-5.633940963889472187e-05
2.444783227633544678e-04,-5.628287908621132374e-05
2.445295227633719273e-04,-5.622641037916764617e-05
2.445807227633893868e-04,-5.616999624180607498e-05
2.446319227634068463e-04,-5.611363667412661016e-05
2.446831227634243058e-04,-5.605733531410805881e-05
2.447343227634417653e-04,-5.600108852377161384e-05
2.447855227634592248e-04,-5.594489994109608233e-05
2.448367227634766843e-04,-5.588876956608146429e-05
2.448879227634941438e-04,-5.583269012277014554e-05
2.449391227635116033e-04,-5.577667252509854734e-05
2.449903227635290628e-04,-5.572070949710905552e-05
2.450415227635465223e-04,-5.566480103880167007e-05
2.450927227635639818e-04,-5.560895078815519810e-05
2.451439227635814413e-04,-5.555315510719083250e-05
2.451951227635989009e-04,-5.549741399590857327e-05
2.452463227636163604e-04,-5.544173109228722751e-05
2.452975227636338199e-04,-5.538610275834798813e-05
2.453487227636512794e-04,-5.533053263206966221e-05
2.453999227636687389e-04,-5.527501707547344267e-05
2.454511227636861984e-04,-5.521955608855932951e-05
2.455023227637036579e-04,-5.516414967132732272e-05
2.455535227637211174e-04,-5.510880146175622940e-05
2.456047227637385769e-04,-5.505350782186724246e-05
2.456559227637560364e-04,-5.499827238963916898e-05
2.457071227637734959e-04,-5.494308788911439478e-05
2.457583227637909554e-04,-5.488796159625053406e-05
2.458095227638084149e-04,-5.483288987306877971e-05
2.458607227638258744e-04,-5.477787271956913173e-05
2.459119227638433339e-04,-5.472291013575159013e-05
2.459631227638607934e-04,-5.466800575959496200e-05
2.460143227638782529e-04,-5.461315231514163315e-05
2.460655227638957124e-04,-5.455835707834921777e-05
2.461167227639131719e-04,-5.450361641123890877e-05
2.461679227639306314e-04,-5.444893031381070614e-05
2.462191227639480909e-04,-5.439429878606460989e-05
2.462703227639655504e-04,-5.433972182800062001e-05
2.463215227639830099e-04,-5.428519943961873651e-05
2.463727227640004694e-04,-5.423073162091895938e-05
2.464239227640179289e-04,-5.417631837190128863e-05
2.464751227640353884e-04,-5.412196333054453135e-05
2.465263227640528479e-04,-5.406765922089107335e-05
2.465775227640703074e-04,-5.401340968091972172e-05
2.466287227640877669e-04,-5.395921471063047647e-05
2.466799227641052264e-04,-5.390507431002333760e-05
2.467311227641226859e-04,-5.385098847909830511e-05
2.467823227641401454e-04,-5.379695721785537899e-05
2.468335227641576049e-04,-5.374298052629455924e-05
2.468847227641750644e-04,-5.368905840441584587e-05
2.469359227641925239e-04,-5.363518721424043179e-05
2.469871227642099834e-04,-5.358137423172593117e-05
2.470383227642274429e-04,-5.352761218091472983e-05
2.470895227642449024e-04,-5.347390469978563488e-05
2.471407227642623619e-04,-5.342025178833864629e-05
2.471919227642798214e-04,-5.336665344657376409e-05
2.472431227642972809e-04,-5.331310603651218116e-05
2.472943227643147404e-04,-5.325961683411151171e-05
2.473455227643321999e-04,-5.320617856341414154e-05
2.473967227643496594e-04,-5.315279122442007065e-05
2.474479227643671189e-04,-5.309946209308691323e-05
2.474991227643845784e-04,-5.304618389345705509e-05
2.475503227644020379e-04,-5.299296026350930333e-05
2.476015227644194974e-04,-5.293979120324365795e-05
2.476527227644369569e-04,-5.288667307468131185e-05
2.477039227644544164e-04,-5.283360951580107212e-05
2.477551227644718759e-04,-5.278059688862413168e-05
2.478063227644893354e-04,-5.272763883112929761e-05
2.478575227645067949e-04,-5.267473534331656992e-05
2.479087227645242544e-04,-5.262188642518594861e-05
2.479599227645417139e-04,-5.256908480077981949e-05
2.480111227645591734e-04,-5.251634138403460383e-05
2.480623227645766329e-04,-5.246364889899268746e-05
2.481135227645940924e-04,-5.241101098363287747e-05
2.481647227646115519e-04,-5.235842399997636676e-05
2.482159227646290114e-04,-5.230588794802315533e-05
2.482671227646464709e-04,-5.225340646575205028e-05
2.483183227646639304e-04,-5.220097955316305161e-05
2.483695227646813899e-04,-5.214860357227735221e-05
2.484207227646988494e-04,-5.209627852309495211e-05
2.484719227647163090e-04,-5.204400804359465837e-05
2.485231227647337685e-04,-5.199179213377647102e-05
2.485743227647512280e-04,-5.193962351768277586e-05
2.486255227647686875e-04,-5.188750947127118707e-05
2.486767227647861470e-04,-5.183544999454170465e-05
2.487279227648036065e-04,-5.178344144951552153e-05
2.487791227648210660e-04,-5.173148383619263768e-05
2.488303227648385255e-04,-5.167957715457305312e-05
2.488815227648559850e-04,-5.162772504263557494e-05
2.489327227648734445e-04,-5.157592386240139604e-05
2.489839227648909040e-04,-5.152417725184932351e-05
2.490351227649083635e-04,-5.147247793502174318e-05
2.490863227649258230e-04,-5.142083318787626922e-05
2.491375227649432825e-04,-5.136923937243409455e-05
2.491887227649607420e-04,-5.131770012667402625e-05
2.492399227649782015e-04,-5.126620817463845015e-05
2.492911227649956610e-04,-5.121477079228498042e-05
2.493423227650131205e-04,-5.116338434163480997e-05
2.493935227650305800e-04,-5.111204882268793881e-05
2.494447227650480395e-04,-5.106076787342317402e-05
2.494959227650654990e-04,-5.100953421788290143e-05
2.495471227650829585e-04,-5.095835513202473521e-05
2.495983227651004180e-04,-5.090722333989106119e-05
2.496495227651178775e-04,-5.085614611743949354e-05
2.497007227651353370e-04,-5.080511982669122517e-05
2.497519227651527965e-04,-5.075414446764625609e-05
2.498031227651702560e-04,-5.070322004030458629e-05
2.498543227651877155e-04,-5.065234654466621578e-05
2.499055227652051750e-04,-5.060152398073114455e-05
2.499567227652226345e-04,-5.055075598647817969e-05
2.500079227652400940e-04,-5.050003528594970703e-05
2.500591227652575535e-04,-5.044936551712453365e-05
2.501103227652750130e-04,-5.039874668000265956e-05
2.501615227652924725e-04,-5.034817877458408475e-05
2.502127227653099320e-04,-5.029766180086880922e-05
2.502639227653273915e-04,-5.024719575885683298e-05
2.503151227653448510e-04,-5.019678064854815602e-05
2.503663227653623105e-04,-5.014641646994277835e-05
2.504175227653797700e-04,-5.009609958506189287e-05
2.504687227653972295e-04,-5.004583726986311376e-05
2.505199227654146890e-04,-4.999562224838882685e-05
2.505711227654321485e-04,-4.994545815861783922e-05
2.506223227654496080e-04,-4.989534863852895796e-05
2.506735227654670675e-04,-4.984528277418576181e-05
2.507247227654845270e-04,-4.979527147952467203e-05
2.507759227655019865e-04,-4.974531111656688154e-05
2.508271227655194460e-04,-4.969539804733358324e-05
2.508783227655369055e-04,-4.964553590980358422e-05
2.509295227655543650e-04,-4.959572470397688448e-05
2.509807227655718245e-04,-4.954596079187467694e-05
2.510319227655892840e-04,-4.949625144945457578e-05
2.510831227656067435e-04,-4.944658940075896680e-05
2.511343227656242030e-04,-4.939697464578785002e-05
2.511855227656416625e-04,-4.934741446049883962e-05
2.512367227656591220e-04,-4.929790156893432140e-05
2.512879227656765815e-04,-4.924843597109429538e-05
2.513391227656940410e-04,-4.919902494293637574e-05
2.513903227657115005e-04,-4.914965757052414119e-05
2.514415227657289600e-04,-4.910034476779401302e-05
